lat;long;featured
46.2;6;B
47.15;7;B
46.45;12206;B
46.67;12206;B
46.46;12571;B
46.7;12936;A
46.7;12936;B
46.23;13332;B
46.23;13332;B
47.28;13697;A
46.73;15493;A
47.29;16984;B
46.1;19541;A
46.1;19541;A
46.1;19541;A
46.29;19541;B
46.29;19906;A
46.19;19906;B
47.38;19937;B
47.38;19937;B
46.89;20241;B
46.53;20972;B
46.97;20972;B
46.97;20972;B
46.26;21002;A
46.53;21337;A
46.54;21337;B
46.63;21337;B
46.63;21337;B
46.63;21337;B
46.63;21337;B
46.63;21337;A
46.63;21337;B
46.64;21337;B
46.63;21337;B
46.64;21337;B
46.22;21367;B
46.21;21367;B
46.2;21367;B
46.22;21367;B
46.22;21367;B
46.25;21732;A
46.22;21732;B
46.22;21732;A
46.21;21732;B
47.56;21732;B
46.22;21732;B
46.56;22433;A
46.53;22433;B
46.17;22463;B
46.53;22494;B
55.66;22616;B
46.13;22828;A
46.51;23163;A
46.52;23163;B
46.52;23163;A
46.52;23163;B
46.52;23163;B
46.51;23163;A
46.52;23163;B
46.51;23163;B
46.52;23163;B
46.14;23193;A
46.78;23529;B
46.78;23529;B
47.33;23559;B
47.33;23559;B
46.53;23894;B
46.51;24259;B
46.78;25082;B
46.51;25355;B
47.08;26085;B
46.49828;26085;A
46.49828;26085;A
46.49828;26085;B
46.49828;26085;A
46.49828;26085;A
46.49828;26085;A
46.49828;26085;A
46.49828;26085;A
46.49828;26085;A
46.49828;26085;A
46.49828;26085;B
46.49828;26085;A
46.49828;26085;A
46.49828;26085;A
46.49828;26085;A
46.49828;26085;A
46.49828;26085;A
46.49828;26085;A
46.49828;26085;A
46.49828;26085;A
46.49828;26085;A
46.49828;26085;A
46.49828;26085;A
46.49828;26085;A
46.49828;26085;A
46.49828;26085;A
46.49828;26085;A
46.49828;26085;A
46.49828;26085;A
46.49828;26085;A
46.49828;26085;A
46.49828;26085;A
46.49828;26085;A
46.94;27181;A
47.06;27546;B
47.05;27546;B
46.17;29068;A
46.98;29738;A
47.1;29738;A
46.48;30468;B
47.1;30468;B
46.85;31199;B
46.85;31199;B
43.17;31199;A
47.22008;31229;B
46.97;31564;A
46.45;31564;B
46.45;31564;A
46.45;31564;B
46.45;31564;A
46.45;31564;A
46.45;31564;A
46.23;31959;B
46.25;32325;B
47.02;33390;B
46.43;33390;A
46.43;33390;A
46.23;33756;B
46.23;33756;B
47.02;33756;B
46.42;33756;B
46.99;34121;B
46.99;34121;B
46.41;34121;A
49.25;34455;B
46.99;34486;A
46.82;34486;A
46.99;34486;B
47;34851;B
46.5333333;34912;A
46.06;35217;A
46.65;35217;A
46.65;35217;A
46.65;35217;A
